,quadkey,tile,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
4485516,2100313322321111,"POLYGON ((-68.6480712890625 -16.5519617219725, -68.642578125 -16.5519617219725, -68.642578125 -16.5572271871027, -68.6480712890625 -16.5572271871027, -68.6480712890625 -16.5519617219725))",3676,2767,49,8,1
4485517,2100313323011320,"POLYGON ((-68.40087890625 -16.3306828203815, -68.3953857421875 -16.3306828203815, -68.3953857421875 -16.3359542908696, -68.40087890625 -16.3359542908696, -68.40087890625 -16.3306828203815))",6911,1824,26,1,1
4485518,2100313323013013,"POLYGON ((-68.4063720703125 -16.3464968053543, -68.40087890625 -16.3464968053543, -68.40087890625 -16.3517678492693, -68.4063720703125 -16.3517678492693, -68.4063720703125 -16.3464968053543))",1003,906,101,1,1
4485519,2100313323123333,"POLYGON ((-68.2965087890625 -16.4624268437789, -68.291015625 -16.4624268437789, -68.291015625 -16.467694748289, -68.2965087890625 -16.467694748289, -68.2965087890625 -16.4624268437789))",622,852,166,2,1
4485520,2100313323132233,"POLYGON ((-68.2745361328125 -16.4624268437789, -68.26904296875 -16.4624268437789, -68.26904296875 -16.467694748289, -68.2745361328125 -16.467694748289, -68.2745361328125 -16.4624268437789))",953,992,17,3,1
4485521,2100313323133032,"POLYGON ((-68.236083984375 -16.4413537948707, -68.2305908203125 -16.4413537948707, -68.2305908203125 -16.4466222716466, -68.236083984375 -16.4466222716466, -68.236083984375 -16.4413537948707))",41,404,34,2,1
4485522,2100313323301111,"POLYGON ((-68.2965087890625 -16.467694748289, -68.291015625 -16.467694748289, -68.291015625 -16.4729625096309, -68.2965087890625 -16.4729625096309, -68.2965087890625 -16.467694748289))",1077,1929,30,1,1
4485523,2100313323303110,"POLYGON ((-68.302001953125 -16.5098328269058, -68.2965087890625 -16.5098328269058, -68.2965087890625 -16.5150994414408, -68.302001953125 -16.5150994414408, -68.302001953125 -16.5098328269058))",7042,4053,3,1,1
4485524,2100313323310001,"POLYGON ((-68.2855224609375 -16.467694748289, -68.280029296875 -16.467694748289, -68.280029296875 -16.4729625096309, -68.2855224609375 -16.4729625096309, -68.2855224609375 -16.467694748289))",189,1352,45,1,1
4485525,2100313323310011,"POLYGON ((-68.2745361328125 -16.467694748289, -68.26904296875 -16.467694748289, -68.26904296875 -16.4729625096309, -68.2745361328125 -16.4729625096309, -68.2745361328125 -16.467694748289))",3002,697,23,1,1
