,quadkey,tile,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
4485685,2100313332201231,"POLYGON ((-68.1427001953125 -16.4992991673976, -68.13720703125 -16.4992991673976, -68.13720703125 -16.5045660688779, -68.1427001953125 -16.5045660688779, -68.1427001953125 -16.4992991673976))",10558,3932,115,131,38
4485686,2100313332201232,"POLYGON ((-68.148193359375 -16.5045660688779, -68.1427001953125 -16.5045660688779, -68.1427001953125 -16.5098328269058, -68.148193359375 -16.5098328269058, -68.148193359375 -16.5045660688779))",10244,3350,51,67,25
4485687,2100313332201233,"POLYGON ((-68.1427001953125 -16.5045660688779, -68.13720703125 -16.5045660688779, -68.13720703125 -16.5098328269058, -68.1427001953125 -16.5098328269058, -68.1427001953125 -16.5045660688779))",10460,3839,18,198,51
4485688,2100313332201300,"POLYGON ((-68.13720703125 -16.4887649342421, -68.1317138671875 -16.4887649342421, -68.1317138671875 -16.4940321225054, -68.13720703125 -16.4940321225054, -68.13720703125 -16.4887649342421))",9349,3323,36,189,42
4485689,2100313332201301,"POLYGON ((-68.1317138671875 -16.4887649342421, -68.126220703125 -16.4887649342421, -68.126220703125 -16.4940321225054, -68.1317138671875 -16.4940321225054, -68.1317138671875 -16.4887649342421))",9469,3722,29,86,19
4485690,2100313332201302,"POLYGON ((-68.13720703125 -16.4940321225054, -68.1317138671875 -16.4940321225054, -68.1317138671875 -16.4992991673976, -68.13720703125 -16.4992991673976, -68.13720703125 -16.4940321225054))",14835,9885,28,247,102
4485691,2100313332201303,"POLYGON ((-68.1317138671875 -16.4940321225054, -68.126220703125 -16.4940321225054, -68.126220703125 -16.4992991673976, -68.1317138671875 -16.4992991673976, -68.1317138671875 -16.4940321225054))",9714,5860,30,138,37
4485692,2100313332201310,"POLYGON ((-68.126220703125 -16.4887649342421, -68.1207275390625 -16.4887649342421, -68.1207275390625 -16.4940321225054, -68.126220703125 -16.4940321225054, -68.126220703125 -16.4887649342421))",12012,4572,34,434,92
4485693,2100313332201311,"POLYGON ((-68.1207275390625 -16.4887649342421, -68.115234375 -16.4887649342421, -68.115234375 -16.4940321225054, -68.1207275390625 -16.4940321225054, -68.1207275390625 -16.4887649342421))",11775,4547,19,388,59
4485694,2100313332201312,"POLYGON ((-68.126220703125 -16.4940321225054, -68.1207275390625 -16.4940321225054, -68.1207275390625 -16.4992991673976, -68.126220703125 -16.4992991673976, -68.126220703125 -16.4940321225054))",11808,4724,19,240,61
4485695,2100313332201313,"POLYGON ((-68.1207275390625 -16.4940321225054, -68.115234375 -16.4940321225054, -68.115234375 -16.4992991673976, -68.1207275390625 -16.4992991673976, -68.1207275390625 -16.4940321225054))",9867,3705,25,163,53
4485696,2100313332201320,"POLYGON ((-68.13720703125 -16.4992991673976, -68.1317138671875 -16.4992991673976, -68.1317138671875 -16.5045660688779, -68.13720703125 -16.5045660688779, -68.13720703125 -16.4992991673976))",11645,9371,33,237,74
4485697,2100313332201321,"POLYGON ((-68.1317138671875 -16.4992991673976, -68.126220703125 -16.4992991673976, -68.126220703125 -16.5045660688779, -68.1317138671875 -16.5045660688779, -68.1317138671875 -16.4992991673976))",24056,15504,18,96,37
4485698,2100313332201322,"POLYGON ((-68.13720703125 -16.5045660688779, -68.1317138671875 -16.5045660688779, -68.1317138671875 -16.5098328269058, -68.13720703125 -16.5098328269058, -68.13720703125 -16.5045660688779))",10093,3490,38,345,74
4485699,2100313332201323,"POLYGON ((-68.1317138671875 -16.5045660688779, -68.126220703125 -16.5045660688779, -68.126220703125 -16.5098328269058, -68.1317138671875 -16.5098328269058, -68.1317138671875 -16.5045660688779))",10514,3955,23,378,123
4485700,2100313332201330,"POLYGON ((-68.126220703125 -16.4992991673976, -68.1207275390625 -16.4992991673976, -68.1207275390625 -16.5045660688779, -68.126220703125 -16.5045660688779, -68.126220703125 -16.4992991673976))",8351,3956,31,278,54
4485701,2100313332201331,"POLYGON ((-68.1207275390625 -16.4992991673976, -68.115234375 -16.4992991673976, -68.115234375 -16.5045660688779, -68.1207275390625 -16.5045660688779, -68.1207275390625 -16.4992991673976))",12042,4995,21,612,83
4485702,2100313332201332,"POLYGON ((-68.126220703125 -16.5045660688779, -68.1207275390625 -16.5045660688779, -68.1207275390625 -16.5098328269058, -68.126220703125 -16.5098328269058, -68.126220703125 -16.5045660688779))",9588,4410,50,112,49
4485703,2100313332201333,"POLYGON ((-68.1207275390625 -16.5045660688779, -68.115234375 -16.5045660688779, -68.115234375 -16.5098328269058, -68.1207275390625 -16.5098328269058, -68.1207275390625 -16.5045660688779))",11791,5607,17,58,28
4485704,2100313332202002,"POLYGON ((-68.203125 -16.5150994414408, -68.1976318359375 -16.5150994414408, -68.1976318359375 -16.5203659124421, -68.203125 -16.5203659124421, -68.203125 -16.5150994414408))",12858,4207,19,13,2
4485705,2100313332202012,"POLYGON ((-68.192138671875 -16.5150994414408, -68.1866455078125 -16.5150994414408, -68.1866455078125 -16.5203659124421, -68.192138671875 -16.5203659124421, -68.192138671875 -16.5150994414408))",9746,3250,14,2,1
4485706,2100313332202013,"POLYGON ((-68.1866455078125 -16.5150994414408, -68.18115234375 -16.5150994414408, -68.18115234375 -16.5203659124421, -68.1866455078125 -16.5203659124421, -68.1866455078125 -16.5150994414408))",5341,2109,36,13,3
4485707,2100313332202020,"POLYGON ((-68.203125 -16.5203659124421, -68.1976318359375 -16.5203659124421, -68.1976318359375 -16.5256322398693, -68.203125 -16.5256322398693, -68.203125 -16.5203659124421))",16976,11161,15,4,3
4485708,2100313332202021,"POLYGON ((-68.1976318359375 -16.5203659124421, -68.192138671875 -16.5203659124421, -68.192138671875 -16.5256322398693, -68.1976318359375 -16.5256322398693, -68.1976318359375 -16.5203659124421))",6763,2547,78,21,4
4485709,2100313332202022,"POLYGON ((-68.203125 -16.5256322398693, -68.1976318359375 -16.5256322398693, -68.1976318359375 -16.5308984236817, -68.203125 -16.5308984236817, -68.203125 -16.5256322398693))",4157,1561,80,13,4
4485710,2100313332202023,"POLYGON ((-68.1976318359375 -16.5256322398693, -68.192138671875 -16.5256322398693, -68.192138671875 -16.5308984236817, -68.1976318359375 -16.5308984236817, -68.1976318359375 -16.5256322398693))",9592,3123,115,13,5
4485711,2100313332202030,"POLYGON ((-68.192138671875 -16.5203659124421, -68.1866455078125 -16.5203659124421, -68.1866455078125 -16.5256322398693, -68.192138671875 -16.5256322398693, -68.192138671875 -16.5203659124421))",9585,3465,9,1,1
4485712,2100313332202031,"POLYGON ((-68.1866455078125 -16.5203659124421, -68.18115234375 -16.5203659124421, -68.18115234375 -16.5256322398693, -68.1866455078125 -16.5256322398693, -68.1866455078125 -16.5203659124421))",4257,1978,41,4,1
4485713,2100313332202032,"POLYGON ((-68.192138671875 -16.5256322398693, -68.1866455078125 -16.5256322398693, -68.1866455078125 -16.5308984236817, -68.192138671875 -16.5308984236817, -68.192138671875 -16.5256322398693))",4333,1973,20,3,3
4485714,2100313332202033,"POLYGON ((-68.1866455078125 -16.5256322398693, -68.18115234375 -16.5256322398693, -68.18115234375 -16.5308984236817, -68.1866455078125 -16.5308984236817, -68.1866455078125 -16.5256322398693))",5898,4350,3,1,1
4485715,2100313332202100,"POLYGON ((-68.18115234375 -16.5098328269058, -68.1756591796875 -16.5098328269058, -68.1756591796875 -16.5150994414408, -68.18115234375 -16.5150994414408, -68.18115234375 -16.5098328269058))",6884,6199,270,2,2
4485716,2100313332202101,"POLYGON ((-68.1756591796875 -16.5098328269058, -68.170166015625 -16.5098328269058, -68.170166015625 -16.5150994414408, -68.1756591796875 -16.5150994414408, -68.1756591796875 -16.5098328269058))",4957,1726,44,1,1
4485717,2100313332202102,"POLYGON ((-68.18115234375 -16.5150994414408, -68.1756591796875 -16.5150994414408, -68.1756591796875 -16.5203659124421, -68.18115234375 -16.5203659124421, -68.18115234375 -16.5150994414408))",6212,9167,58,18,2
4485718,2100313332202103,"POLYGON ((-68.1756591796875 -16.5150994414408, -68.170166015625 -16.5150994414408, -68.170166015625 -16.5203659124421, -68.1756591796875 -16.5203659124421, -68.1756591796875 -16.5150994414408))",5090,1774,10,1,1
4485719,2100313332202110,"POLYGON ((-68.170166015625 -16.5098328269058, -68.1646728515625 -16.5098328269058, -68.1646728515625 -16.5150994414408, -68.170166015625 -16.5150994414408, -68.170166015625 -16.5098328269058))",9056,7074,25,13,3
4485720,2100313332202111,"POLYGON ((-68.1646728515625 -16.5098328269058, -68.1591796875 -16.5098328269058, -68.1591796875 -16.5150994414408, -68.1646728515625 -16.5150994414408, -68.1646728515625 -16.5098328269058))",12112,8349,20,87,4
4485721,2100313332202112,"POLYGON ((-68.170166015625 -16.5150994414408, -68.1646728515625 -16.5150994414408, -68.1646728515625 -16.5203659124421, -68.170166015625 -16.5203659124421, -68.170166015625 -16.5150994414408))",6481,4124,56,13,5
4485722,2100313332202113,"POLYGON ((-68.1646728515625 -16.5150994414408, -68.1591796875 -16.5150994414408, -68.1591796875 -16.5203659124421, -68.1646728515625 -16.5203659124421, -68.1646728515625 -16.5150994414408))",9926,2905,12,5,3
4485723,2100313332202120,"POLYGON ((-68.18115234375 -16.5203659124421, -68.1756591796875 -16.5203659124421, -68.1756591796875 -16.5256322398693, -68.18115234375 -16.5256322398693, -68.18115234375 -16.5203659124421))",4145,1786,19,5,2
4485724,2100313332202121,"POLYGON ((-68.1756591796875 -16.5203659124421, -68.170166015625 -16.5203659124421, -68.170166015625 -16.5256322398693, -68.1756591796875 -16.5256322398693, -68.1756591796875 -16.5203659124421))",9995,2694,433,3,3
4485725,2100313332202122,"POLYGON ((-68.18115234375 -16.5256322398693, -68.1756591796875 -16.5256322398693, -68.1756591796875 -16.5308984236817, -68.18115234375 -16.5308984236817, -68.18115234375 -16.5256322398693))",7487,9199,3,1,1
4485726,2100313332202123,"POLYGON ((-68.1756591796875 -16.5256322398693, -68.170166015625 -16.5256322398693, -68.170166015625 -16.5308984236817, -68.1756591796875 -16.5308984236817, -68.1756591796875 -16.5256322398693))",14178,7686,15,5,2
4485727,2100313332202130,"POLYGON ((-68.170166015625 -16.5203659124421, -68.1646728515625 -16.5203659124421, -68.1646728515625 -16.5256322398693, -68.170166015625 -16.5256322398693, -68.170166015625 -16.5203659124421))",9991,5125,30,14,5
4485728,2100313332202131,"POLYGON ((-68.1646728515625 -16.5203659124421, -68.1591796875 -16.5203659124421, -68.1591796875 -16.5256322398693, -68.1646728515625 -16.5256322398693, -68.1646728515625 -16.5203659124421))",17113,7550,20,26,4
4485729,2100313332202133,"POLYGON ((-68.1646728515625 -16.5256322398693, -68.1591796875 -16.5256322398693, -68.1591796875 -16.5308984236817, -68.1646728515625 -16.5308984236817, -68.1646728515625 -16.5256322398693))",6171,2476,225,18,4
4485730,2100313332202200,"POLYGON ((-68.203125 -16.5308984236817, -68.1976318359375 -16.5308984236817, -68.1976318359375 -16.5361644638388, -68.203125 -16.5361644638388, -68.203125 -16.5308984236817))",7504,3310,311,7,5
4485731,2100313332202201,"POLYGON ((-68.1976318359375 -16.5308984236817, -68.192138671875 -16.5308984236817, -68.192138671875 -16.5361644638388, -68.1976318359375 -16.5361644638388, -68.1976318359375 -16.5308984236817))",1678,1060,24,4,2
4485732,2100313332202202,"POLYGON ((-68.203125 -16.5361644638388, -68.1976318359375 -16.5361644638388, -68.1976318359375 -16.5414303603, -68.203125 -16.5414303603, -68.203125 -16.5361644638388))",5112,2059,22,19,3
4485733,2100313332202203,"POLYGON ((-68.1976318359375 -16.5361644638388, -68.192138671875 -16.5361644638388, -68.192138671875 -16.5414303603, -68.1976318359375 -16.5414303603, -68.1976318359375 -16.5361644638388))",2946,902,11,1,1
4485734,2100313332202210,"POLYGON ((-68.192138671875 -16.5308984236817, -68.1866455078125 -16.5308984236817, -68.1866455078125 -16.5361644638388, -68.192138671875 -16.5361644638388, -68.192138671875 -16.5308984236817))",7251,2472,25,24,7
4485735,2100313332202211,"POLYGON ((-68.1866455078125 -16.5308984236817, -68.18115234375 -16.5308984236817, -68.18115234375 -16.5361644638388, -68.1866455078125 -16.5361644638388, -68.1866455078125 -16.5308984236817))",14969,5001,13,1,1
4485736,2100313332202212,"POLYGON ((-68.192138671875 -16.5361644638388, -68.1866455078125 -16.5361644638388, -68.1866455078125 -16.5414303603, -68.192138671875 -16.5414303603, -68.192138671875 -16.5361644638388))",11820,3449,23,21,5
4485737,2100313332202213,"POLYGON ((-68.1866455078125 -16.5361644638388, -68.18115234375 -16.5361644638388, -68.18115234375 -16.5414303603, -68.1866455078125 -16.5414303603, -68.1866455078125 -16.5361644638388))",16466,5357,16,6,3
4485738,2100313332202220,"POLYGON ((-68.203125 -16.5414303603, -68.1976318359375 -16.5414303603, -68.1976318359375 -16.5466961130247, -68.203125 -16.5466961130247, -68.203125 -16.5414303603))",2823,1050,19,4,1
4485739,2100313332202221,"POLYGON ((-68.1976318359375 -16.5414303603, -68.192138671875 -16.5414303603, -68.192138671875 -16.5466961130247, -68.1976318359375 -16.5466961130247, -68.1976318359375 -16.5414303603))",5656,1703,80,6,2
4485740,2100313332202223,"POLYGON ((-68.1976318359375 -16.5466961130247, -68.192138671875 -16.5466961130247, -68.192138671875 -16.5519617219725, -68.1976318359375 -16.5519617219725, -68.1976318359375 -16.5466961130247))",7983,3139,19,6,2
4485741,2100313332202230,"POLYGON ((-68.192138671875 -16.5414303603, -68.1866455078125 -16.5414303603, -68.1866455078125 -16.5466961130247, -68.192138671875 -16.5466961130247, -68.192138671875 -16.5414303603))",4327,1552,53,2,1
4485742,2100313332202231,"POLYGON ((-68.1866455078125 -16.5414303603, -68.18115234375 -16.5414303603, -68.18115234375 -16.5466961130247, -68.1866455078125 -16.5466961130247, -68.1866455078125 -16.5414303603))",4435,2478,56,40,6
4485743,2100313332202300,"POLYGON ((-68.18115234375 -16.5308984236817, -68.1756591796875 -16.5308984236817, -68.1756591796875 -16.5361644638388, -68.18115234375 -16.5361644638388, -68.18115234375 -16.5308984236817))",12205,3925,17,10,2
4485744,2100313332202301,"POLYGON ((-68.1756591796875 -16.5308984236817, -68.170166015625 -16.5308984236817, -68.170166015625 -16.5361644638388, -68.1756591796875 -16.5361644638388, -68.1756591796875 -16.5308984236817))",10038,3385,9,3,1
4485745,2100313332202302,"POLYGON ((-68.18115234375 -16.5361644638388, -68.1756591796875 -16.5361644638388, -68.1756591796875 -16.5414303603, -68.18115234375 -16.5414303603, -68.18115234375 -16.5361644638388))",5246,2117,14,5,3
4485746,2100313332202303,"POLYGON ((-68.1756591796875 -16.5361644638388, -68.170166015625 -16.5361644638388, -68.170166015625 -16.5414303603, -68.1756591796875 -16.5414303603, -68.1756591796875 -16.5361644638388))",5589,3075,134,9,3
4485747,2100313332202310,"POLYGON ((-68.170166015625 -16.5308984236817, -68.1646728515625 -16.5308984236817, -68.1646728515625 -16.5361644638388, -68.170166015625 -16.5361644638388, -68.170166015625 -16.5308984236817))",1884,3645,102,1,1
4485748,2100313332202311,"POLYGON ((-68.1646728515625 -16.5308984236817, -68.1591796875 -16.5308984236817, -68.1591796875 -16.5361644638388, -68.1646728515625 -16.5361644638388, -68.1646728515625 -16.5308984236817))",8705,5059,77,75,5
4485749,2100313332202312,"POLYGON ((-68.170166015625 -16.5361644638388, -68.1646728515625 -16.5361644638388, -68.1646728515625 -16.5414303603, -68.170166015625 -16.5414303603, -68.170166015625 -16.5361644638388))",4232,2221,339,23,4
4485750,2100313332202313,"POLYGON ((-68.1646728515625 -16.5361644638388, -68.1591796875 -16.5361644638388, -68.1591796875 -16.5414303603, -68.1646728515625 -16.5414303603, -68.1646728515625 -16.5361644638388))",15480,5597,10,18,8
4485751,2100313332202320,"POLYGON ((-68.18115234375 -16.5414303603, -68.1756591796875 -16.5414303603, -68.1756591796875 -16.5466961130247, -68.18115234375 -16.5466961130247, -68.18115234375 -16.5414303603))",2810,511,11,5,2
4485752,2100313332202321,"POLYGON ((-68.1756591796875 -16.5414303603, -68.170166015625 -16.5414303603, -68.170166015625 -16.5466961130247, -68.1756591796875 -16.5466961130247, -68.1756591796875 -16.5414303603))",8246,3533,14,5,1
4485753,2100313332202323,"POLYGON ((-68.1756591796875 -16.5466961130247, -68.170166015625 -16.5466961130247, -68.170166015625 -16.5519617219725, -68.1756591796875 -16.5519617219725, -68.1756591796875 -16.5466961130247))",5695,213,8,2,1
4485754,2100313332202330,"POLYGON ((-68.170166015625 -16.5414303603, -68.1646728515625 -16.5414303603, -68.1646728515625 -16.5466961130247, -68.170166015625 -16.5466961130247, -68.170166015625 -16.5414303603))",15023,10656,17,1,1
4485755,2100313332202331,"POLYGON ((-68.1646728515625 -16.5414303603, -68.1591796875 -16.5414303603, -68.1591796875 -16.5466961130247, -68.1646728515625 -16.5466961130247, -68.1646728515625 -16.5414303603))",14995,5328,13,9,1
4485756,2100313332202332,"POLYGON ((-68.170166015625 -16.5466961130247, -68.1646728515625 -16.5466961130247, -68.1646728515625 -16.5519617219725, -68.170166015625 -16.5519617219725, -68.170166015625 -16.5466961130247))",1618,341,48,1,1
4485757,2100313332203000,"POLYGON ((-68.1591796875 -16.5098328269058, -68.1536865234375 -16.5098328269058, -68.1536865234375 -16.5150994414408, -68.1591796875 -16.5150994414408, -68.1591796875 -16.5098328269058))",9628,2923,11,66,12
4485758,2100313332203001,"POLYGON ((-68.1536865234375 -16.5098328269058, -68.148193359375 -16.5098328269058, -68.148193359375 -16.5150994414408, -68.1536865234375 -16.5150994414408, -68.1536865234375 -16.5098328269058))",6937,7110,12,10,3
4485759,2100313332203002,"POLYGON ((-68.1591796875 -16.5150994414408, -68.1536865234375 -16.5150994414408, -68.1536865234375 -16.5203659124421, -68.1591796875 -16.5203659124421, -68.1591796875 -16.5150994414408))",15406,5553,13,94,13
4485760,2100313332203003,"POLYGON ((-68.1536865234375 -16.5150994414408, -68.148193359375 -16.5150994414408, -68.148193359375 -16.5203659124421, -68.1536865234375 -16.5203659124421, -68.1536865234375 -16.5150994414408))",9578,4946,16,96,6
4485761,2100313332203010,"POLYGON ((-68.148193359375 -16.5098328269058, -68.1427001953125 -16.5098328269058, -68.1427001953125 -16.5150994414408, -68.148193359375 -16.5150994414408, -68.148193359375 -16.5098328269058))",14633,5613,22,98,12
4485762,2100313332203011,"POLYGON ((-68.1427001953125 -16.5098328269058, -68.13720703125 -16.5098328269058, -68.13720703125 -16.5150994414408, -68.1427001953125 -16.5150994414408, -68.1427001953125 -16.5098328269058))",10949,4305,14,152,30
4485763,2100313332203012,"POLYGON ((-68.148193359375 -16.5150994414408, -68.1427001953125 -16.5150994414408, -68.1427001953125 -16.5203659124421, -68.148193359375 -16.5203659124421, -68.148193359375 -16.5150994414408))",3695,1283,27,21,4
4485764,2100313332203013,"POLYGON ((-68.1427001953125 -16.5150994414408, -68.13720703125 -16.5150994414408, -68.13720703125 -16.5203659124421, -68.1427001953125 -16.5203659124421, -68.1427001953125 -16.5150994414408))",8209,3035,81,60,18
4485765,2100313332203020,"POLYGON ((-68.1591796875 -16.5203659124421, -68.1536865234375 -16.5203659124421, -68.1536865234375 -16.5256322398693, -68.1591796875 -16.5256322398693, -68.1591796875 -16.5203659124421))",11427,3881,16,52,9
4485766,2100313332203021,"POLYGON ((-68.1536865234375 -16.5203659124421, -68.148193359375 -16.5203659124421, -68.148193359375 -16.5256322398693, -68.1536865234375 -16.5256322398693, -68.1536865234375 -16.5203659124421))",8265,2980,23,53,12
4485767,2100313332203022,"POLYGON ((-68.1591796875 -16.5256322398693, -68.1536865234375 -16.5256322398693, -68.1536865234375 -16.5308984236817, -68.1591796875 -16.5308984236817, -68.1591796875 -16.5256322398693))",9961,3377,32,25,10
4485768,2100313332203023,"POLYGON ((-68.1536865234375 -16.5256322398693, -68.148193359375 -16.5256322398693, -68.148193359375 -16.5308984236817, -68.1536865234375 -16.5308984236817, -68.1536865234375 -16.5256322398693))",11794,4766,15,79,12
4485769,2100313332203030,"POLYGON ((-68.148193359375 -16.5203659124421, -68.1427001953125 -16.5203659124421, -68.1427001953125 -16.5256322398693, -68.148193359375 -16.5256322398693, -68.148193359375 -16.5203659124421))",4757,872,74,47,2
4485770,2100313332203031,"POLYGON ((-68.1427001953125 -16.5203659124421, -68.13720703125 -16.5203659124421, -68.13720703125 -16.5256322398693, -68.1427001953125 -16.5256322398693, -68.1427001953125 -16.5203659124421))",8715,1664,44,19,4
4485771,2100313332203032,"POLYGON ((-68.148193359375 -16.5256322398693, -68.1427001953125 -16.5256322398693, -68.1427001953125 -16.5308984236817, -68.148193359375 -16.5308984236817, -68.148193359375 -16.5256322398693))",11248,6730,13,38,8
4485772,2100313332203033,"POLYGON ((-68.1427001953125 -16.5256322398693, -68.13720703125 -16.5256322398693, -68.13720703125 -16.5308984236817, -68.1427001953125 -16.5308984236817, -68.1427001953125 -16.5256322398693))",1179,185,262,3,1
4485773,2100313332203100,"POLYGON ((-68.13720703125 -16.5098328269058, -68.1317138671875 -16.5098328269058, -68.1317138671875 -16.5150994414408, -68.13720703125 -16.5150994414408, -68.13720703125 -16.5098328269058))",9426,3743,21,165,31
4485774,2100313332203101,"POLYGON ((-68.1317138671875 -16.5098328269058, -68.126220703125 -16.5098328269058, -68.126220703125 -16.5150994414408, -68.1317138671875 -16.5150994414408, -68.1317138671875 -16.5098328269058))",12247,5628,38,274,69
4485775,2100313332203102,"POLYGON ((-68.13720703125 -16.5150994414408, -68.1317138671875 -16.5150994414408, -68.1317138671875 -16.5203659124421, -68.13720703125 -16.5203659124421, -68.13720703125 -16.5150994414408))",10453,4042,18,149,37
4485776,2100313332203103,"POLYGON ((-68.1317138671875 -16.5150994414408, -68.126220703125 -16.5150994414408, -68.126220703125 -16.5203659124421, -68.1317138671875 -16.5203659124421, -68.1317138671875 -16.5150994414408))",10983,4041,20,222,56
4485777,2100313332203110,"POLYGON ((-68.126220703125 -16.5098328269058, -68.1207275390625 -16.5098328269058, -68.1207275390625 -16.5150994414408, -68.126220703125 -16.5150994414408, -68.126220703125 -16.5098328269058))",13292,6391,35,593,102
4485778,2100313332203111,"POLYGON ((-68.1207275390625 -16.5098328269058, -68.115234375 -16.5098328269058, -68.115234375 -16.5150994414408, -68.1207275390625 -16.5150994414408, -68.1207275390625 -16.5098328269058))",10511,7971,14,42,19
4485779,2100313332203112,"POLYGON ((-68.126220703125 -16.5150994414408, -68.1207275390625 -16.5150994414408, -68.1207275390625 -16.5203659124421, -68.126220703125 -16.5203659124421, -68.126220703125 -16.5150994414408))",11966,4230,16,22,13
4485780,2100313332203113,"POLYGON ((-68.1207275390625 -16.5150994414408, -68.115234375 -16.5150994414408, -68.115234375 -16.5203659124421, -68.1207275390625 -16.5203659124421, -68.1207275390625 -16.5150994414408))",11760,4479,22,17,11
4485781,2100313332203120,"POLYGON ((-68.13720703125 -16.5203659124421, -68.1317138671875 -16.5203659124421, -68.1317138671875 -16.5256322398693, -68.13720703125 -16.5256322398693, -68.13720703125 -16.5203659124421))",8810,975,12,1,1
4485782,2100313332203121,"POLYGON ((-68.1317138671875 -16.5203659124421, -68.126220703125 -16.5203659124421, -68.126220703125 -16.5256322398693, -68.1317138671875 -16.5256322398693, -68.1317138671875 -16.5203659124421))",13123,2450,14,2,2
4485783,2100313332203122,"POLYGON ((-68.13720703125 -16.5256322398693, -68.1317138671875 -16.5256322398693, -68.1317138671875 -16.5308984236817, -68.13720703125 -16.5308984236817, -68.13720703125 -16.5256322398693))",2472,290,121,2,2
4485784,2100313332203123,"POLYGON ((-68.1317138671875 -16.5256322398693, -68.126220703125 -16.5256322398693, -68.126220703125 -16.5308984236817, -68.1317138671875 -16.5308984236817, -68.1317138671875 -16.5256322398693))",11649,4225,11,60,10
4485785,2100313332203130,"POLYGON ((-68.126220703125 -16.5203659124421, -68.1207275390625 -16.5203659124421, -68.1207275390625 -16.5256322398693, -68.126220703125 -16.5256322398693, -68.126220703125 -16.5203659124421))",12355,3796,35,38,9
4485786,2100313332203131,"POLYGON ((-68.1207275390625 -16.5203659124421, -68.115234375 -16.5203659124421, -68.115234375 -16.5256322398693, -68.1207275390625 -16.5256322398693, -68.1207275390625 -16.5203659124421))",10849,4135,20,57,18
4485787,2100313332203132,"POLYGON ((-68.126220703125 -16.5256322398693, -68.1207275390625 -16.5256322398693, -68.1207275390625 -16.5308984236817, -68.126220703125 -16.5308984236817, -68.126220703125 -16.5256322398693))",10052,3638,19,139,13
4485788,2100313332203133,"POLYGON ((-68.1207275390625 -16.5256322398693, -68.115234375 -16.5256322398693, -68.115234375 -16.5308984236817, -68.1207275390625 -16.5308984236817, -68.1207275390625 -16.5256322398693))",6559,1974,187,26,8
4485789,2100313332203200,"POLYGON ((-68.1591796875 -16.5308984236817, -68.1536865234375 -16.5308984236817, -68.1536865234375 -16.5361644638388, -68.1591796875 -16.5361644638388, -68.1591796875 -16.5308984236817))",11829,4479,24,22,8
4485790,2100313332203201,"POLYGON ((-68.1536865234375 -16.5308984236817, -68.148193359375 -16.5308984236817, -68.148193359375 -16.5361644638388, -68.1536865234375 -16.5361644638388, -68.1536865234375 -16.5308984236817))",18944,7033,11,34,5
4485791,2100313332203202,"POLYGON ((-68.1591796875 -16.5361644638388, -68.1536865234375 -16.5361644638388, -68.1536865234375 -16.5414303603, -68.1591796875 -16.5414303603, -68.1591796875 -16.5361644638388))",4496,1458,14,20,3
4485792,2100313332203210,"POLYGON ((-68.148193359375 -16.5308984236817, -68.1427001953125 -16.5308984236817, -68.1427001953125 -16.5361644638388, -68.148193359375 -16.5361644638388, -68.148193359375 -16.5308984236817))",19286,9517,6,2,2
4485793,2100313332203211,"POLYGON ((-68.1427001953125 -16.5308984236817, -68.13720703125 -16.5308984236817, -68.13720703125 -16.5361644638388, -68.1427001953125 -16.5361644638388, -68.1427001953125 -16.5308984236817))",14670,8384,3,1,1
4485794,2100313332203212,"POLYGON ((-68.148193359375 -16.5361644638388, -68.1427001953125 -16.5361644638388, -68.1427001953125 -16.5414303603, -68.148193359375 -16.5414303603, -68.148193359375 -16.5361644638388))",8101,2931,14,1,1
4485795,2100313332203213,"POLYGON ((-68.1427001953125 -16.5361644638388, -68.13720703125 -16.5361644638388, -68.13720703125 -16.5414303603, -68.1427001953125 -16.5414303603, -68.1427001953125 -16.5361644638388))",4585,6164,14,1,1
4485796,2100313332203233,"POLYGON ((-68.1427001953125 -16.5466961130247, -68.13720703125 -16.5466961130247, -68.13720703125 -16.5519617219725, -68.1427001953125 -16.5519617219725, -68.1427001953125 -16.5466961130247))",7758,6222,6,1,1
4485797,2100313332203300,"POLYGON ((-68.13720703125 -16.5308984236817, -68.1317138671875 -16.5308984236817, -68.1317138671875 -16.5361644638388, -68.13720703125 -16.5361644638388, -68.13720703125 -16.5308984236817))",9551,4516,15,103,7
4485798,2100313332203301,"POLYGON ((-68.1317138671875 -16.5308984236817, -68.126220703125 -16.5308984236817, -68.126220703125 -16.5361644638388, -68.1317138671875 -16.5361644638388, -68.1317138671875 -16.5308984236817))",14949,6411,16,16,6
4485799,2100313332203310,"POLYGON ((-68.126220703125 -16.5308984236817, -68.1207275390625 -16.5308984236817, -68.1207275390625 -16.5361644638388, -68.126220703125 -16.5361644638388, -68.126220703125 -16.5308984236817))",19519,6826,13,46,3
4485800,2100313332203311,"POLYGON ((-68.1207275390625 -16.5308984236817, -68.115234375 -16.5308984236817, -68.115234375 -16.5361644638388, -68.1207275390625 -16.5361644638388, -68.1207275390625 -16.5308984236817))",8376,1831,8,1,1
4485801,2100313332210000,"POLYGON ((-68.115234375 -16.467694748289, -68.1097412109375 -16.467694748289, -68.1097412109375 -16.4729625096309, -68.115234375 -16.4729625096309, -68.115234375 -16.467694748289))",13402,3839,16,8,6
