,P1,P2,P1A,P1B,P1C,P1D,P6,P11A,P11B,P11C,P11F,P12,P16,P17,P20,P23,P27A,P27B,P27C,P27D,P27E,P27F,P27G,P37,P43,P46A,P46B,P46C,P46D,P46E,P46F,P46G,P46H,P46I,P47A,P47B,P47C,P47D,P47E,P47F,P47G,P47H,P47I,P63A,P63B,P68,P131A,P131B,P131C,P148,P149,P152,P160
55,16,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,3,2,10.0,,,,,,,,5,,,,,,,,,1,2.0,3,5,6.0,,2,2,6,El Alto
56,20,1,,,,,1,1.0,2.0,3.0,,1,2,2,1,3,,,,,,,,1.0,4,1,5.0,7.0,,10.0,,,,,1,5.0,7.0,12.0,,,,,,2,,3,5,1.0,,1,6,6,El Alto
58,16,1,,,,,2,2.0,4.0,,,1,2,2,2,3,,,,,,,,1.0,5,1,9.0,10.0,,,,,,,5,7.0,,,,,,,,1,2.0,1,6,5.0,,1,2,6,El Alto
61,16,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,3,2,5.0,7.0,,9.0,10.0,,,,3,7.0,9.0,,,,,,,1,2.0,3,3,,,1,2,6,El Alto
64,14,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,2,7,8.0,9.0,,,,,,,9,12.0,2.0,3.0,4.0,,5.0,6.0,7.0,2,,3,5,,,2,2,6,El Alto
67,14,1,,,,,2,3.0,5.0,6.0,,1,2,1,1,3,,,,,,,,,4,1,7.0,,,,,,,,7,,,,,,,,,2,,1,1,,,1,2,6,La Paz
70,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,9.0,,,,,,,,2,,1,1,3.0,,2,2,6,La Paz
73,15,1,,,,,1,2.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,2,1,3.0,7.0,,8.0,9.0,10.0,,,5,9.0,,,,,,,,2,,1,6,,,1,2,6,La Paz
75,17,1,,,,,1,2.0,3.0,,,1,2,2,1,3,,,,,,,,1.0,2,2,5.0,,,,,,,,1,5.0,,,,,,,,9,,1,9,,,2,2,6,La Paz
77,17,1,,,,,1,3.0,,,,1,2,2,1,2,,,,,,,,1.0,3,9,10.0,,,,,,,,7,9.0,,,,,,,,1,2.0,1,6,4.0,1.0,1,2,6,La Paz
78,25,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,2,6.0,10.0,,,,,,,7,9.0,12.0,,,,,,,1,2.0,3,5,1.0,6.0,1,4,6,La Paz
82,19,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,2,9,10.0,,,,,,,,8,9.0,12.0,,,,,,,1,2.0,2,5,6.0,,2,6,6,El Alto
87,15,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,1,1,2.0,7.0,,,,,,,5,12.0,,,,,,,,1,1.0,1,5,,,1,2,6,El Alto
93,19,1,,,,,1,1.0,2.0,3.0,4.0,1,2,2,1,1,2.0,7.0,9.0,,10.0,,,1.0,7,1,2.0,4.0,,5.0,6.0,7.0,8.0,9.0,5,7.0,9.0,12.0,,,,,,2,,2,4,5.0,6.0,2,6,6,El Alto
95,17,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,1,10.0,,,,,,,1.0,7,1,10.0,,,,,,,,9,,,,,,,,,2,,1,4,5.0,6.0,1,2,6,El Alto
98,21,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,1,1.0,2.0,,,,,,1.0,7,2,5.0,,,,,,,,5,,,,,,,,,1,2.0,2,6,,,1,4,6,El Alto
102,14,1,,,,,1,2.0,3.0,4.0,,1,1,2,1,1,1.0,2.0,4.0,,,,,1.0,4,1,2.0,,,,,,,,5,,,,,,,,,2,,1,5,,,1,2,6,El Alto
103,15,1,,,,,1,1.0,,,,1,1,2,1,1,1.0,2.0,,,,,,1.0,7,1,2.0,5.0,,,,,,,5,,,,,,,,,2,,1,8,,,2,2,6,El Alto
104,14,1,,,,,2,1.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,5,9.0,,,,,,,,2,,1,9,,,1,2,6,Caranavi
106,20,1,,,,,1,2.0,,,,1,1,2,1,2,,,,,,,,1.0,7,2,10.0,,,,,,,,1,5.0,,,,,,,,2,,2,1,5.0,2.0,2,3,6,Caranavi
108,15,1,,,,,2,3.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,4,1,7.0,,,,,,,,2,5.0,,,,,,,,2,,1,3,4.0,5.0,1,2,6,Patacamaya
110,19,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,1,1,6.0,10.0,,,,,,,9,,,,,,,,,2,,3,1,2.0,6.0,1,3,6,Villa Viluyo
111,16,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,3,1,2.0,10.0,,,,,,,5,9.0,,,,,,,,2,,3,1,2.0,6.0,2,2,6,Mallku Originario
112,17,1,,,,,1,5.0,,,,1,2,2,2,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,13,,,,,Juegos,,,,2,,1,5,1.0,,1,2,6,El Alto
114,15,1,,,,,1,5.0,,,,1,2,2,2,3,,,,,,,,1.0,7,2,9.0,10.0,,,,,,,5,,,,,,,,,2,,1,1,5.0,,2,2,6,El Alto
117,23,1,,,,,1,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,,,,,,,,,2,,2,5,6.0,,2,6,6,El Alto
118,21,1,,,,,1,4.0,5.0,,,1,2,2,2,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,9,,,,,,,,,1,1.0,1,5,6.0,,1,6,6,El Alto
120,22,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,5.0,,,,,,,1,9.0,,,,,,,,1,1.0,2,5,,,1,6,6,Villa Viluyo
121,17,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,4,1,8.0,10.0,,,,,,,9,,,,,,,,,2,,1,1,,,2,2,6,Villa Viluyo
127,16,1,,,,,2,,,,,1,2,1,2,3,,,,,,,,1.0,4,1,2.0,9.0,,,,,,,9,,,,,,,,,2,,3,5,2.0,1.0,1,2,6,Machac Huyo
134,22,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,4,1,3.0,4.0,,8.0,,,,,1,5.0,10.0,,,,,,,1,2.0,3,5,1.0,,1,3,6,Mallku Originario
135,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,4.0,10.0,,,,,,,5,9.0,,,,,,,,2,,1,6,5.0,,2,3,6,Mallku Originario
136,17,1,,,,,1,2.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,5,1,4.0,10.0,,,,,,,1,5.0,7.0,,,,,,,1,2.0,1,5,1.0,2.0,1,2,6,Mallku Originario
138,17,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,2,8,9.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,1,5.0,6.0,1,2,6,Santa Cruz
141,18,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,8.0,9.0,,,,,,,5,7.0,9.0,,,,,,,2,,3,3,5.0,6.0,2,3,6,Santa Cruz
150,23,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,8,9.0,10.0,,,,,,,1,5.0,7.0,12.0,,,,,,2,,2,1,6.0,5.0,1,6,6,Santa Cruz
151,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,5.0,7.0,,,,,,,2,,1,1,3.0,6.0,2,2,6,Santa Cruz
155,16,1,,,,,1,4.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,5,9.0,10.0,,,,,,,2,,1,6,7.0,1.0,2,2,6,Santa Cruz
160,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,8,10.0,11.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,6,1.0,7.0,1,2,6,Santa Cruz
161,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,2.0,5,1,10.0,11.0,,,,,,,7,,,,,,,,,2,,1,5,6.0,1.0,2,2,6,Santa Cruz
169,19,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,3,1,9.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,5,6.0,1.0,1,4,6,Santa Cruz
177,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,8,9.0,10.0,,,,,,,9,,,,,,,,,2,,1,1,6.0,7.0,1,2,6,Santa Cruz
178,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,7.0,10.0,,,,,,,1,,,,,,,,,2,,3,1,5.0,6.0,2,2,6,Santa Cruz
182,17,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,8,9.0,10.0,,,,,,,4,5.0,7.0,,,,,,,2,,1,1,3.0,6.0,1,2,6,Santa Cruz
183,22,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,5,7,8.0,10.0,,,,,,,5,7.0,,,,,,,,2,,1,1,3.0,5.0,2,6,6,Santa Cruz
184,24,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,2.0,7,7,8.0,10.0,,,,,,,7,8.0,9.0,,,,,,,2,,2,5,6.0,1.0,1,6,6,Santa Cruz
195,22,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,6,1,8.0,10.0,,,,,,,1,7.0,12.0,,,,,,,2,,2,6,5.0,3.0,1,6,6,Santa Cruz
196,16,1,,,,,1,2.0,4.0,,,1,1,2,2,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,3,6.0,7.0,2,2,6,Santa Cruz
198,22,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,6,5.0,1.0,2,6,6,Santa Cruz
201,19,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,1,5.0,7.0,8.0,9.0,,12.0,,,1,9.0,1,5,6.0,1.0,1,6,6,Santa Cruz
202,18,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,1,4.0,5.0,7.0,8.0,,9.0,,,1,9.0,1,1,3.0,6.0,2,3,6,Santa Cruz
204,23,1,,,,,1,1.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,5,7.0,8.0,9.0,,,,,,1,9.0,1,4,5.0,6.0,2,6,6,Santa Cruz
207,22,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,4.0,10.0,,,,,,,5,7.0,8.0,,,,,,,2,,2,5,6.0,1.0,1,6,6,Santa Cruz
210,14,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,9,10.0,,,,,,,,1,7.0,9.0,,,,,,,2,,1,1,6.0,7.0,2,2,6,Santa Cruz
211,18,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,7,8.0,10.0,,,,,,,1,2.0,7.0,,,,,,,2,,3,1,5.0,6.0,1,3,6,Santa Cruz
212,24,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,9.0,10.0,,,,,,,1,5.0,7.0,12.0,,,,,,1,1.0,2,1,6.0,5.0,2,6,6,Santa Cruz
218,21,1,,,,,1,2.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,1,5.0,7.0,9.0,12.0,,,,,2,,3,3,6.0,5.0,1,6,6,Santa Cruz
219,17,1,,,,,1,2.0,4.0,,,1,2,2,2,2,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,12.0,,,,,,,2,,1,3,6.0,5.0,2,2,6,Santa Cruz
220,17,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,2.0,10.0,,,,,,,1,5.0,9.0,12.0,,,,,,2,,1,6,5.0,1.0,1,2,6,Santa Cruz
221,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,1,6.0,5.0,2,6,6,Santa Cruz
225,20,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,9.0,12.0,,,,,,2,,2,6,5.0,3.0,1,6,6,Santa Cruz
230,19,1,,,,,1,1.0,3.0,5.0,,1,1,2,1,3,,,,,,,,1.0,6,1,7.0,8.0,,9.0,10.0,,,,1,7.0,9.0,,,,,,,2,,3,5,6.0,7.0,1,6,6,Santa Cruz
231,24,1,,,,,1,2.0,3.0,,,1,2,2,1,3,,,,,,,,1.0,5,1,9.0,10.0,,,,,,,1,7.0,9.0,,,,,,,2,,2,5,6.0,7.0,1,6,6,Santa Cruz
232,14,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,7.0,9.0,,10.0,,,,,7,9.0,,,,,,,,2,,1,5,6.0,1.0,2,2,6,Santa Cruz
234,24,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,1,7.0,9.0,,10.0,,,,,7,9.0,12.0,,,,,,,2,,2,5,6.0,7.0,2,6,6,Santa Cruz
239,17,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,1,1.0,4.0,7.0,,,,,1.0,7,2,8.0,9.0,,11.0,,,,,7,8.0,9.0,10.0,,,,,,2,,3,4,3.0,1.0,2,2,6,Santa Cruz
241,17,1,,,,,1,1.0,5.0,,,1,1,2,1,1,1.0,2.0,10.0,,,,,1.0,7,1,5.0,10.0,,,,,,,4,5.0,7.0,8.0,9.0,,,,,2,,1,4,5.0,6.0,1,2,6,Santa Cruz
246,23,1,,,,,1,1.0,4.0,,,1,1,2,1,1,1.0,5.0,11.0,,,,,1.0,5,4,5.0,7.0,,,,,,,5,10.0,,,,,,,,1,9.0,2,4,5.0,6.0,2,6,6,Santa Cruz
252,19,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,8,10.0,11.0,,,,,,,4,5.0,8.0,9.0,,,,,,2,,1,4,5.0,6.0,2,6,6,Santa Cruz
253,14,1,,,,,1,4.0,5.0,,,1,1,2,1,1,4.0,7.0,11.0,,,,,1.0,7,4,10.0,11.0,,,,,,,4,5.0,8.0,9.0,12.0,,,,,2,,2,1,3.0,5.0,1,2,6,Santa Cruz
254,22,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,4,7.0,10.0,,,,,,,4,5.0,7.0,8.0,9.0,Tarea,13.0,,,2,,1,5,6.0,4.0,1,3,6,Santa Cruz
262,19,1,,,,,1,5.0,,,,1,1,2,2,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,9.0,,,,,,,2,,2,1,6.0,5.0,2,6,6,Santa Cruz
264,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,1,7.0,,,,,,,,2,,2,5,6.0,7.0,1,6,6,Santa Cruz
266,19,1,,,,,1,2.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,1,3.0,7.0,,,,,,,2,,2,6,5.0,1.0,1,4,6,Santa Cruz
267,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,10.0,11.0,,,,,,,1,4.0,5.0,7.0,8.0,,9.0,,,2,,3,1,2.0,3.0,2,6,6,Santa Cruz
271,24,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,10.0,11.0,,,,,,,1,4.0,5.0,8.0,9.0,,,,,1,1.0,2,5,2.0,1.0,1,6,6,Santa Cruz
272,14,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,1,1.0,10.0,11.0,,,,,1.0,7,1,10.0,11.0,,,,,,,5,7.0,8.0,9.0,,,,,,2,,2,1,5.0,2.0,1,2,6,Santa Cruz
277,14,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,4,5.0,1.0,1,2,6,Roboré
278,18,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,2,6.0,7.0,9.0,,,,,,2,,1,1,3.0,5.0,1,3,6,Roboré
279,20,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,6,7.0,9.0,,,,,,,2,,1,1,6.0,2.0,2,3,6,Roboré
281,19,1,,,,,1,4.0,5.0,,,1,2,1,1,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,2,6.0,7.0,9.0,,,,,,2,,1,1,5.0,6.0,1,3,6,Puerto Quijarro
282,24,1,,,,,1,4.0,5.0,,,1,2,1,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,1,5.0,6.0,2,3,6,Puerto Quijarro
286,20,1,,,,,1,1.0,2.0,4.0,,1,2,2,2,2,,,,,,,,1.0,3,1,9.0,,,,,,,,5,7.0,,,,,,,,2,,1,1,5.0,,2,3,6,Warnes
290,19,1,,,,,1,2.0,4.0,5.0,,1,1,2,2,1,2.0,5.0,7.0,,11.0,,,1.0,5,1,4.0,6.0,,9.0,10.0,,,,1,3.0,5.0,7.0,,,,,,2,,2,1,2.0,3.0,1,3,6,San Ignacio
293,29,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,2.0,10.0,,,,,,,1,5.0,7.0,8.0,,,,,,2,,3,1,5.0,3.0,1,6,6,San Ignacio
294,19,1,,,,,1,4.0,5.0,,,1,2,1,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,1,5.0,3.0,2,3,6,Valle Grande
295,24,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,4,5.0,7.0,9.0,,,,,,1,9.0,2,1,3.0,5.0,1,4,6,Valle Grande
301,18,1,,,,,1,,,,,1,2,2,2,3,,,,,,,,1.0,1,4,10.0,,,,,,,,5,9.0,,,,,,,,1,2.0,1,5,6.0,1.0,2,3,6,Mineros
306,34,1,,,,,1,3.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,10.0,,,,,,,9,,,,,,,,,2,,3,1,6.0,,2,2,6,Camiri
312,15,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,8,9.0,10.0,,,,,,,5,7.0,,,,,,,,2,,1,5,6.0,,1,2,6,Santa Rita
317,16,1,,,,,1,1.0,2.0,3.0,4.0,1,2,2,2,2,,,,,,,,1.0,7,1,2.0,6.0,,7.0,8.0,9.0,10.0,,7,,,,,,,,,2,,3,6,5.0,3.0,2,2,6,San Juan Yapacani
318,15,1,,,,,1,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,2.0,8.0,,9.0,10.0,,,,7,,,,,,,,,2,,3,5,6.0,1.0,1,2,6,San Juan Yapacani
322,16,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,5,7,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,1,6.0,7.0,2,2,6,El Carmen Rivero
325,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,9.0,10.0,,,,,,,9,,,,,,,,,2,,3,6,3.0,1.0,2,2,6,Quebrada León
326,17,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,3,1,7.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,1,6.0,5.0,1,2,6,Quebrada León
333,14,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,2.0,3,1,9.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,1,2.0,,2,2,6,Huasa Cañada
334,18,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,2.0,3,1,7.0,9.0,,10.0,,,,,5,7.0,8.0,9.0,,,,,,2,,1,1,2.0,6.0,2,3,6,Huasa Cañada
335,24,1,,,,,1,2.0,3.0,4.0,5.0,1,2,1,2,3,,,,,,,,2.0,4,1,4.0,7.0,,9.0,10.0,,,,1,5.0,7.0,9.0,,,,,,2,,3,1,3.0,2.0,1,3,6,Huasa Cañada
346,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,7,10.0,,,,,,,,5,7.0,9.0,,,,,,,2,,1,1,3.0,6.0,1,2,6,Piedritas
347,21,1,,,,,1,1.0,2.0,3.0,4.0,1,2,2,1,2,,,,,,,,1.0,2,1,2.0,5.0,,7.0,8.0,9.0,10.0,11.0,8,9.0,,,,,,,,9,,1,1,6.0,7.0,2,6,6,Anamal
351,25,1,,,,,1,1.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,2,1,4.0,10.0,,,,,,,1,5.0,6.0,7.0,9.0,,,,,1,2.0,2,4,5.0,6.0,1,6,6,Anamal
352,18,1,,,,,1,4.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,3,1,4.0,10.0,,,,,,,3,5.0,7.0,9.0,,,,,,2,,2,1,3.0,5.0,2,3,6,Anamal
354,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,7,8.0,10.0,,,,,,,7,,,,,,,,,2,,3,6,5.0,1.0,1,2,6,Pueblo Nuevo
360,19,1,,,,,2,,,,,2,2,2,2,3,,,,,,,,1.0,5,1,7.0,10.0,,,,,,,1,,,,,,,,,2,,3,1,3.0,6.0,2,3,6,Pueblo Nuevo
365,17,1,,,,,1,1.0,2.0,4.0,,1,1,1,2,1,2.0,9.0,10.0,,,,,1.0,5,7,9.0,,,,,,,,1,7.0,,,,,,,,1,1.0,1,1,6.0,3.0,2,2,6,Sucre
366,18,1,,,,,1,1.0,2.0,4.0,5.0,1,1,2,1,1,1.0,4.0,5.0,,8.0,9.0,10.0,1.0,7,1,7.0,8.0,,,,,,,1,3.0,9.0,,,,,,,1,1.0,2,1,,,1,3,6,Sucre
367,14,1,,,,,1,2.0,3.0,4.0,,1,1,2,2,1,8.0,9.0,10.0,,,,,1.0,7,8,9.0,10.0,,,,,,,1,13.0,,,,Ocio,,,,2,,1,5,6.0,1.0,1,2,6,Sucre
377,20,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,10.0,11.0,,,,,,,9,12.0,,,,,,,,2,,1,7,6.0,,2,6,6,Sucre
386,24,1,,,,,1,1.0,4.0,5.0,,1,2,2,2,2,,,,,,,,1.0,7,4,7.0,10.0,,,,,,,5,6.0,,,,,,,,1,1.0,2,5,6.0,4.0,1,6,6,Sucre
388,19,1,,,,,2,3.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,4,1,10.0,11.0,,,,,,,7,,,,,,,,,1,1.0,2,6,4.0,2.0,1,6,6,Sucre
389,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,2.0,7,1,10.0,,,,,,,,7,,,,,,,,,2,,1,4,5.0,6.0,1,3,6,Sucre
392,19,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,5,6.0,7.0,,8.0,9.0,10.0,11.0,,2,4.0,5.0,10.0,,,,,,1,2.0,2,5,6.0,4.0,2,3,6,Sucre
394,26,1,,,,,1,5.0,1.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,10.0,,,,,,,,1,7.0,,,,,,,,1,2.0,2,5,6.0,2.0,2,6,6,Sucre
