,P1,P2,P1A,P1B,P1C,P1D,P6,P11A,P11B,P11C,P11F,P12,P16,P17,P20,P23,P27A,P27B,P27C,P27D,P27E,P27F,P27G,P37,P43,P46A,P46B,P46C,P46D,P46E,P46F,P46G,P46H,P46I,P47A,P47B,P47C,P47D,P47E,P47F,P47G,P47H,P47I,P63A,P63B,P68,P131A,P131B,P131C,P148,P149,P152,P160,accesibilidad,utilidad
2771,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,9,10.0,,,,,,,,7,,,,,,,,,2,,1,5,6.0,1.0,2,2,6,Sipe Sipe,0.5,0.04
2777,16,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,6,1,8.0,9.0,,,,,,,8,,,,,,,,,2,,3,6,,,2,2,6,Shinahota,0.25,0.08
2778,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,1,3.0,7.0,,,,,,,2,,1,1,,,1,3,6,Shinahota,0.5,0.04
2780,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,10,,,,,,,,,9,,,,,,,,,2,,1,6,,,2,2,6,Shinahota,0.5,0.0
2782,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,1,1,8.0,9.0,,10.0,,,,,1,7.0,,,,,,,,1,2.0,1,9,,,1,2,6,Sauce Rancho,0.5,0.08
2784,23,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,1,1,2.0,7.0,,10.0,,,,,1,7.0,9.0,,,,,,,1,2.0,2,7,5.0,,2,6,6,Sauce Rancho,0.5,0.186
2785,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,,,,,,,,2,9.0,,,,,,,,2,,2,1,,,2,6,6,Sauce Rancho,0.5,0.121
2786,22,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,2,7.0,8.0,,,,,,,1,,,,,,,,,2,,2,5,6.0,,1,6,6,Sauce Rancho,0.5,0.145
2790,15,1,,,,,1,1.0,2.0,5.0,,1,1,2,1,3,,,,,,,,1.0,4,1,8.0,10.0,,,,,,,1,9.0,,,,,,,,2,,1,1,2.0,,1,2,6,Sauce Rancho,0.75,0.358
2793,15,1,,,,,1,1.0,2.0,4.0,5.0,1,2,2,1,3,,,,,,,,1.0,3,1,4.0,8.0,,10.0,,,,,1,7.0,9.0,,,,,,,2,,1,5,,,2,2,6,Sauce Rancho,0.625,0.56
2795,20,1,,,,,2,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,6,1,2.0,4.0,,6.0,7.0,10.0,,,1,5.0,9.0,,,,,,,2,,2,1,5.0,,1,6,6,Sauce Rancho,0.5,0.574
2796,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,8.0,10.0,,,,,,,2,7.0,,,,,,,,2,,1,6,,,1,2,6,Sauce Rancho,0.5,0.04
2797,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,10,,,,,,,,,7,13.0,,,,,,,,2,,3,6,,,2,3,6,Sauce Rancho,0.375,0.0
2800,23,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,2,4.0,,,,,,,,9,,,,,,,,,1,2.0,1,1,,,1,6,6,San Benito,0.5,0.162
2801,22,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,3,1,4.0,9.0,,10.0,,,,,1,7.0,,,,,,,,2,,2,5,6.0,3.0,2,6,6,San Benito,0.625,0.162
2804,23,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,10.0,,,,,,,,1,7.0,,,,,,,,2,,3,6,,,2,6,6,San Benito,0.375,0.04
2805,19,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,2,1,2.0,10.0,,,,,,,1,5.0,7.0,,,,,,,2,,3,3,,,1,3,6,San Benito,0.5,0.121
2806,23,1,,,,,1,5.0,,,,1,2,2,1,2,,,,,,,,1.0,3,1,2.0,4.0,,,,,,,9,,,,,,,,,1,1.0,2,6,4.0,1.0,2,6,6,Punata,0.75,0.324
2807,20,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,5,1,2.0,10.0,,,,,,,7,9.0,,,,,,,,1,1.0,2,6,1.0,5.0,2,6,6,Punata,0.625,0.243
2808,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,10.0,,,,,,,7,9.0,,,,,,,,2,,1,6,1.0,5.0,1,3,6,Punata,0.5,0.121
2810,19,1,,,,,1,2.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,5,7.0,9.0,,,,,,,1,2.0,1,1,5.0,6.0,1,3,6,Punata,0.75,0.34
2811,19,1,,,,,1,1.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,6,1,4.0,10.0,,,,,,,5,7.0,9.0,,,,,,,1,2.0,1,6,1.0,,2,3,6,Punata,0.625,0.34
2813,16,1,,,,,1,3.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,2,1,8.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,6,1.0,5.0,1,2,6,Punata,0.625,0.224
2819,16,1,,,,,1,2.0,3.0,,,1,2,1,1,3,,,,,,,,1.0,2,1,10.0,,,,,,,,1,4.0,5.0,7.0,,,,,,2,,3,9,,,1,2,6,Irpa Irpa,0.625,0.199
2825,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,1,2,6.0,7.0,,8.0,10.0,,,,1,,,,,,,,,2,,1,9,,,1,3,6,Huañacahua,0.5,0.21
2827,22,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,9.0,,10.0,,,,,1,,,,,,,,,2,,3,9,,,2,6,6,Huañacahua,0.375,0.162
2829,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,5.0,,9.0,10.0,,,,1,7.0,,,,,,,,1,1.0,2,1,2.0,3.0,2,6,6,Huañacahua,0.5,0.226
2838,24,1,,,,,1,1.0,3.0,5.0,,1,1,2,1,1,1.0,8.0,10.0,,,,,1.0,4,4,6.0,7.0,,,,,,,5,,,,,,,,,2,,2,1,5.0,6.0,1,6,6,Huañacahua,0.875,0.53
2839,19,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,9.0,,,,,,,5,,,,,,,,,2,,2,1,5.0,6.0,2,6,6,Huañacahua,0.625,0.284
2842,16,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,1,1.0,2.0,6.0,,,,,1.0,6,1,2.0,8.0,,,,,,,1,7.0,,,,,,,,2,,1,1,5.0,6.0,2,2,6,Huañacahua,0.875,0.684
2844,14,1,,,,,1,5.0,,,,1,2,2,1,2,,,,,,,,1.0,7,1,,,,,,,,,1,5.0,7.0,9.0,,,,,,2,,1,5,6.0,,1,2,6,Huañacahua,0.75,0.162
2845,22,1,,,,,1,1.0,2.0,4.0,,1,2,2,1,2,,,,,,,,1.0,5,1,2.0,10.0,,,,,,,7,9.0,,,,,,,,2,,2,5,6.0,,2,6,6,Huañacahua,0.75,0.438
2851,24,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,3,1,2.0,9.0,,10.0,,,,,1,,,,,,,,,2,,2,5,,,1,2,6,Huañacahua,0.875,0.284
2852,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,8.0,10.0,,,,,,,7,8.0,12.0,,,,,,,2,,1,6,,,1,3,6,Dorado Grande,0.5,0.04
2860,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,10.0,,,,,,,,3,9.0,,,,,,,,2,,1,2,1.0,6.0,2,3,6,Cochabamba,0.5,0.04
2861,16,1,,,,,1,3.0,,,,1,1,2,1,3,,,,,,,,1.0,6,1,8.0,10.0,,,,,,,9,,,,,,,,,2,,1,2,1.0,,2,2,6,Cochabamba,0.75,0.102
2862,18,1,,,,,1,5.0,,,,1,2,1,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,4,3.0,2.0,1,3,6,Cochabamba,0.75,0.162
2865,18,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,7.0,9.0,,10.0,,,,,1,9.0,,,,,,,,2,,1,6,2.0,1.0,2,3,6,Cochabamba,0.625,0.145
2870,23,1,,,,,1,4.0,,,,1,1,2,1,1,2.0,7.0,,,,,,1.0,7,7,,,,,,,,,10,,,,,,,,,1,1.0,2,5,6.0,3.0,1,3,6,Cochabamba,0.875,0.332
2872,16,1,,,,,1,,,,,1,1,2,1,1,10.0,,,,,,,1.0,7,10,,,,,,,,,7,,,,,,,,,2,,1,1,5.0,,2,2,6,Cochabamba,0.875,0.0
2873,22,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,9,10.0,,,,,,,,7,,,,,,,,,1,1.0,1,5,1.0,3.0,2,3,6,Cochabamba,0.75,0.162
2881,18,1,,,,,1,4.0,5.0,,,1,1,2,1,1,1.0,9.0,10.0,,,,,1.0,7,1,2.0,10.0,,,,,,,7,9.0,,,,,,,,2,,1,5,3.0,1.0,2,3,6,Cochabamba,0.875,0.446
2882,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,6.0,8.0,,10.0,,,,,1,7.0,9.0,,,,,,,1,2.0,1,1,2.0,5.0,1,3,6,Cochabamba,0.5,0.105
2883,25,1,,,,,1,3.0,5.0,,,1,1,2,1,1,6.0,8.0,10.0,,,,,1.0,7,1,6.0,10.0,,,,,,,1,7.0,9.0,11.0,,,,,,1,2.0,2,1,4.0,6.0,1,6,6,Cochabamba,0.875,0.353
2886,22,1,,,,,1,5.0,,,,1,1,2,1,1,9.0,10.0,,,,,,1.0,6,7,10.0,,,,,,,,7,,,,,,,,,1,2.0,2,4,,,2,6,6,Cochabamba,0.875,0.227
2887,23,1,,,,,1,4.0,,,,1,1,2,1,1,10.0,,,,,,,1.0,7,10,,,,,,,,,7,,,,,,,,,2,,2,1,,,2,6,6,Cochabamba,0.875,0.122
2888,17,1,,,,,1,2.0,3.0,,,1,1,2,1,2,,,,,,,,2.0,5,8,,,,,,,,,7,,,,,,,,,2,,3,1,5.0,,1,2,6,Cochabamba,0.75,0.158
2889,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,4.0,9.0,,,,,,,1,,,,,,,,,1,2.0,2,1,,,2,6,6,Cochabamba,0.5,0.162
2890,23,1,,,,,1,5.0,,,,1,1,2,1,1,4.0,,,,,,,1.0,7,4,,,,,,,,,9,,,,,,,,,1,2.0,2,1,6.0,,1,6,6,Cochabamba,0.875,0.284
2894,19,1,,,,,1,4.0,,,,1,1,2,1,1,8.0,9.0,10.0,,,,,1.0,6,8,9.0,10.0,,,,,,,5,9.0,,,,,,,,2,,1,3,,,1,3,6,Cochabamba,0.875,0.202
2895,22,1,,,,,1,1.0,3.0,5.0,,1,2,2,1,1,1.0,2.0,8.0,,,,,1.0,7,1,4.0,8.0,,,,,,,5,9.0,12.0,,,,,,,2,,2,6,,,2,4,6,Cochabamba,0.75,0.522
2896,21,1,,,,,1,1.0,4.0,5.0,,1,1,2,1,1,2.0,7.0,10.0,,,,,1.0,7,1,4.0,9.0,,,,,,,5,12.0,,,,,,,,2,,2,5,6.0,3.0,2,6,6,Cochabamba,0.875,0.648
2901,22,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,1,7.0,,,,,,,,2,,3,4,6.0,3.0,2,3,6,Cochabamba,0.375,0.04
2903,17,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,7.0,10.0,,,,,,,1,9.0,,,,,,,,2,,1,1,2.0,5.0,2,2,6,Cochabamba,0.625,0.105
2904,23,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,1,7.0,,,,,,,,2,,1,1,6.0,,1,6,6,Cochabamba,0.5,0.04
2907,21,1,,,,,1,4.0,,,,1,1,2,1,1,2.0,7.0,10.0,,,,,1.0,7,2,7.0,10.0,,,,,,,1,5.0,9.0,,,,,,,1,1.0,1,4,5.0,6.0,2,6,6,Cochabamba,0.875,0.412
2908,21,1,,,,,2,4.0,,,,1,1,2,1,3,,,,,,,,1.0,7,10,5.0,,,,,,,,7,,,,,,,,,2,,1,4,5.0,6.0,2,3,6,Cochabamba,0.625,0.186
2914,14,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,4,5.0,9.0,,,,,,,2,,2,6,5.0,1.0,1,2,6,Cochabamba,0.5,0.105
2920,20,1,,,,,1,1.0,,,,2,2,2,1,3,,,,,,,,1.0,7,1,2.0,,,,,,,,1,9.0,,,,,,,,2,,2,1,,,1,6,6,Cochabamba,0.5,0.218
2921,18,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,9.0,,,,,,,,1,1.0,2,9,,,1,3,6,Cochabamba,0.625,0.121
2924,16,1,,,,,1,2.0,,,,1,2,1,1,2,,,,,,,,1.0,7,1,8.0,,,,,,,,1,7.0,,,,,,,,2,,1,9,,,1,2,6,Cochabamba,0.875,0.138
2925,24,1,,,,,1,2.0,3.0,4.0,,1,1,2,1,1,1.0,2.0,7.0,,10.0,,,1.0,7,1,8.0,10.0,,,,,,,1,7.0,,,,,,,,2,,2,9,,,1,6,6,Cochabamba,0.875,0.507
2927,19,1,,,,,1,2.0,4.0,5.0,,1,2,1,1,2,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,4,7.0,12.0,,,,,,,2,,2,9,,,1,6,6,Cochabamba,0.875,0.422
2928,20,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,1,1.0,2.0,4.0,,5.0,7.0,8.0,1.0,7,7,8.0,10.0,,11.0,,,,,1,3.0,5.0,7.0,,,,,,2,,2,5,6.0,,1,6,6,Cochabamba,0.875,0.708
2929,23,1,,,,,1,4.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,10.0,,,,,1,9.0,12.0,,,,,,,2,,2,9,,,2,6,6,Cochabamba,0.75,0.446
2932,18,1,,,,,1,3.0,2.0,,,2,2,2,1,3,,,,,,,,1.0,7,1,2.0,9.0,,,,,,,1,7.0,,,,,,,,1,1.0,1,4,2.0,6.0,1,3,6,Cochabamba,0.5,0.32
2933,21,1,,,,,2,4.0,,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,9.0,,,,,,,7,8.0,,,,,,,,1,1.0,2,6,1.0,4.0,2,6,6,Cochabamba,0.5,0.284
2936,20,1,,,,,1,1.0,4.0,,,1,1,2,1,1,1.0,2.0,4.0,,,,,1.0,7,1,4.0,7.0,,10.0,,,,,5,7.0,8.0,,,,,,,1,1.0,2,6,5.0,7.0,1,6,6,Cochabamba,0.875,0.606
2939,17,1,,,,,1,2.0,3.0,5.0,,1,2,2,2,3,,,,,,,,1.0,7,1,7.0,8.0,,10.0,,,,,5,7.0,,,,,,,,1,2.0,1,6,7.0,,1,1,6,Cochabamba,0.5,0.386
2944,25,1,,,,,1,1.0,,,,1,1,2,1,1,1.0,4.0,7.0,,,,,1.0,7,1,9.0,10.0,,,,,,,5,7.0,,,,,,,,2,,2,5,4.0,1.0,1,6,6,Cochabamba,0.875,0.364
2947,18,1,,,,,1,1.0,3.0,5.0,,1,1,2,1,1,7.0,8.0,9.0,,,,,1.0,7,9,10.0,,,,,,,,5,7.0,9.0,,,,,,,2,,1,5,4.0,1.0,1,2,6,Cochabamba,0.875,0.426
2949,19,1,,,,,1,1.0,4.0,,,1,1,1,1,1,1.0,4.0,,,,,,1.0,7,7,8.0,9.0,,,,,,,5,7.0,,,,,,,,2,,1,4,5.0,1.0,2,6,6,Cochabamba,1.0,0.446
2951,19,1,,,,,1,1.0,4.0,5.0,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,7.0,,,,,,,7,,,,,,,,,1,2.0,1,5,4.0,3.0,2,6,6,Cochabamba,0.75,0.527
2952,19,1,,,,,1,1.0,3.0,4.0,,1,1,2,2,1,1.0,7.0,10.0,,,,,1.0,7,4,7.0,10.0,,,,,,,1,2.0,7.0,,,,,,,1,1.0,2,6,5.0,1.0,2,6,6,Cochabamba,0.75,0.53
2961,22,1,,,,,1,1.0,2.0,4.0,,1,2,2,1,2,,,,,,,,1.0,3,1,9.0,,,,,,,,5,7.0,,,,,,,,2,,1,1,5.0,,2,3,6,Warnes,0.75,0.398
2966,14,1,,,,,1,2.0,3.0,,,1,2,2,2,2,,,,,,,,1.0,5,7,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,1,6.0,7.0,1,2,6,Warnes,0.625,0.264
2972,19,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,3,1,7.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,3,4.0,6.0,1,2,6,Warnes,0.625,0.105
2973,24,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,2,1,2.0,10.0,,,,,,,1,5.0,7.0,9.0,,,,,,2,,1,1,5.0,,2,4,6,Warnes,0.875,0.365
2974,21,1,,,,,1,4.0,5.0,,,1,2,1,1,3,,,,,,,,1.0,4,1,9.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,1,5.0,,2,3,6,Valle Grande,0.75,0.324
2978,16,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,3,1,10.0,,,,,,,,7,,,,,,,,,2,,1,5,,,2,2,6,Valle Grande,0.625,0.04
2980,25,1,,,,,1,1.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,4,1,2.0,4.0,,5.0,7.0,10.0,,,5,9.0,10.0,,,,,,,1,2.0,2,5,6.0,7.0,2,6,6,Santa Rita,0.625,0.55
2982,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,8,9.0,10.0,,,,,,,5,7.0,,,,,,,,2,,1,5,6.0,,1,3,6,Santa Rita,0.5,0.04
2983,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,8,9.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,1,5.0,,1,3,6,Santa Cruz,0.5,0.04
2986,20,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,8.0,9.0,,,,,,,5,7.0,9.0,,,,,,,2,,3,3,5.0,6.0,2,3,6,Santa Cruz,0.5,0.08
2995,21,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,8,9.0,10.0,,,,,,,1,5.0,7.0,12.0,,,,,,2,,2,1,6.0,5.0,1,6,6,Santa Cruz,0.625,0.04
2996,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,5.0,7.0,,,,,,,2,,1,1,3.0,6.0,2,3,6,Santa Cruz,0.5,0.08
3000,18,1,,,,,1,4.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,5,9.0,10.0,,,,,,,2,,1,6,7.0,,2,2,6,Santa Cruz,0.75,0.349
3005,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,8,10.0,11.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,6,1.0,,1,2,6,Santa Cruz,0.5,0.064
3006,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,2.0,7,1,10.0,11.0,,,,,,,7,,,,,,,,,2,,1,5,6.0,1.0,2,2,6,Santa Cruz,0.5,0.105
3014,21,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,6,1,9.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,5,6.0,1.0,1,4,6,Santa Cruz,0.625,0.08
3022,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,8,9.0,10.0,,,,,,,9,5.0,,,,,,,,2,,1,1,6.0,7.0,1,3,6,Santa Cruz,0.5,0.04
3023,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,8,7.0,10.0,,1.0,,,,,1,5.0,,,,,,,,2,,3,1,5.0,6.0,2,3,6,Santa Cruz,0.375,0.105
3027,19,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,8,9.0,10.0,,,,,,,4,5.0,7.0,,,,,,,2,,1,1,3.0,6.0,1,2,6,Santa Cruz,0.625,0.04
3028,20,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,6,7,8.0,10.0,,,,,,,5,7.0,,,,,,,,2,,1,1,3.0,5.0,2,6,6,Santa Cruz,0.625,0.064
3029,22,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,2.0,7,7,8.0,10.0,,,,,,,7,8.0,9.0,,,,,,,2,,2,5,6.0,1.0,1,6,6,Santa Cruz,0.625,0.064
3040,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,6,1,8.0,10.0,,,,,,,1,7.0,12.0,,,,,,,2,,2,6,5.0,3.0,1,6,6,Santa Cruz,0.5,0.04
3041,18,1,,,,,1,2.0,4.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,3,6.0,7.0,2,3,6,Santa Cruz,0.625,0.3
3043,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,6,5.0,1.0,2,6,6,Santa Cruz,0.375,0.105
3046,21,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,1,5.0,7.0,8.0,9.0,,12.0,,,1,9.0,1,5,6.0,1.0,1,6,6,Santa Cruz,0.75,0.426
3047,20,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,1,4.0,5.0,7.0,8.0,,9.0,,,1,9.0,1,1,3.0,6.0,2,6,6,Santa Cruz,0.875,0.365
3049,21,1,,,,,1,1.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,5,7.0,8.0,9.0,,,,,,1,2.0,1,4,5.0,6.0,2,6,6,Santa Cruz,0.75,0.462
3052,20,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,5,7.0,8.0,,,,,,,2,,2,5,6.0,1.0,1,6,6,Santa Cruz,0.625,0.121
3055,16,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,9,10.0,,,,,,,,1,7.0,9.0,,,,,,,2,,1,1,6.0,7.0,2,2,6,Santa Cruz,0.625,0.04
3056,20,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,7,8.0,10.0,,,,,,,1,2.0,7.0,,,,,,,2,,3,1,5.0,6.0,1,3,6,Santa Cruz,0.5,0.064
3057,22,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,9.0,10.0,,,,,,,1,5.0,7.0,12.0,,,,,,1,2.0,2,1,6.0,5.0,2,6,6,Santa Cruz,0.625,0.08
3063,22,1,,,,,1,2.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,1,5.0,7.0,9.0,12.0,,,,,2,,3,3,6.0,5.0,1,6,6,Santa Cruz,0.75,0.382
3064,19,1,,,,,1,2.0,4.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,12.0,,,,,,,2,,1,3,6.0,5.0,2,3,6,Santa Cruz,0.75,0.3
3065,19,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,6,1,2.0,10.0,,,,,,,1,5.0,9.0,12.0,,,,,,2,,1,6,5.0,1.0,1,2,6,Santa Cruz,0.625,0.121
3066,22,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,1,6.0,5.0,2,6,6,Santa Cruz,0.375,0.08
3070,22,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,9.0,12.0,,,,,,2,,2,6,5.0,3.0,1,6,6,Santa Cruz,0.625,0.08
3075,21,1,,,,,1,1.0,3.0,5.0,,1,1,2,1,3,,,,,,,,1.0,6,1,7.0,8.0,,9.0,10.0,,,,1,7.0,9.0,,,,,,,2,,3,5,6.0,7.0,1,6,6,Santa Cruz,0.625,0.426
3076,22,1,,,,,1,2.0,3.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,9.0,,,,,,,2,,2,5,6.0,7.0,1,6,6,Santa Cruz,0.625,0.239
3077,16,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,7.0,9.0,,10.0,,,,,7,9.0,,,,,,,,2,,1,5,6.0,1.0,2,2,6,Santa Cruz,0.625,0.145
3079,22,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,1,7.0,9.0,,10.0,,,,,7,9.0,12.0,,,,,,,2,,2,5,6.0,7.0,2,6,6,Santa Cruz,0.75,0.487
3084,19,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,1,1.0,4.0,7.0,,,,,1.0,7,2,8.0,9.0,,11.0,,,,,7,8.0,9.0,10.0,,,,,,2,,3,4,3.0,1.0,2,2,6,Santa Cruz,0.75,0.774
3086,19,1,,,,,1,1.0,5.0,,,1,1,2,1,1,1.0,2.0,10.0,,,,,1.0,7,1,5.0,10.0,,,,,,,4,5.0,7.0,8.0,9.0,,,,,2,,1,4,5.0,6.0,1,2,6,Santa Cruz,0.875,0.446
3097,21,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,8,10.0,11.0,,,,,,,4,5.0,8.0,9.0,,,,,,2,,1,4,5.0,6.0,2,6,6,Santa Cruz,0.875,0.467
3098,16,1,,,,,1,4.0,5.0,,,1,1,2,1,1,4.0,7.0,11.0,,,,,1.0,7,4,10.0,11.0,,,,,,,4,5.0,8.0,9.0,12.0,,,,,2,,2,1,3.0,5.0,1,2,6,Santa Cruz,0.875,0.599
3099,20,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,4,7.0,10.0,,,,,,,4,5.0,7.0,8.0,9.0,,,,,2,,1,5,6.0,4.0,1,6,6,Santa Cruz,0.875,0.548
3107,21,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,9.0,,,,,,,2,,2,1,6.0,5.0,2,6,6,Santa Cruz,0.75,0.202
3109,22,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,1,7.0,,,,,,,,2,,2,5,6.0,7.0,1,6,6,Santa Cruz,0.5,0.04
3111,21,1,,,,,1,2.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,1,3.0,7.0,,,,,,,2,,2,6,5.0,1.0,1,4,6,Santa Cruz,0.75,0.26
3112,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,6,1,10.0,11.0,,,,,,,1,4.0,5.0,7.0,8.0,,9.0,,,2,,3,1,2.0,3.0,2,6,6,Santa Cruz,0.375,0.105
3117,16,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,1,1.0,10.0,11.0,,,,,1.0,7,1,10.0,11.0,,,,,,,5,7.0,8.0,9.0,,,,,,2,,2,1,5.0,2.0,1,2,6,Santa Cruz,0.875,0.514
