lat,long
-11.89611,-68.98723
-11.87528,-69.00084
-11.76417,-69.06946
-11.4725,-69.2489
-11.17361,-69.43251
-11.0625,-69.50057
-10.95109,-69.56844
-10.95056,-69.56751
-10.95222,-69.54056
-10.95111,-69.48695
-10.94806,-69.45084
-10.94722,-69.44446
-10.93778,-69.41223
-10.95083,-69.22278
-10.96722,-69.07613
-11.01611,-68.84889
-11.125,-68.78445
-11.13361,-68.77918
-11.13639,-68.77473
-11.13972,-68.76418
-11.14056,-68.75778
-11.13472,-68.70056
-11.12445,-68.65472
-11.11639,-68.62083
-11.10614,-68.58345
-11.1,-68.56946
-11.08889,-68.55223
-11.06834,-68.53111
-11.06,-68.52528
-11.05445,-68.51695
-11.01778,-68.40251
-11.00611,-68.35667
-11.0075,-68.3439
-11.00695,-68.33778
-10.99667,-68.31307
-10.98556,-68.28917
-10.98,-68.28056
-10.97667,-68.27695
-10.91167,-68.23029
-10.76417,-68.12668
-10.75445,-68.12251
-10.74889,-68.12112
-10.72945,-68.11974
-10.72472,-68.11751
-10.70528,-68.10196
-10.69028,-68.08223
-10.67639,-68.06111
-10.66278,-68.02585
-10.65778,-68.00945
-10.65695,-67.86585
-10.6575,-67.84557
-10.66111,-67.82779
-10.66528,-67.81751
-10.68417,-67.78723
-10.7125,-67.74556
-10.71334,-67.73918
-10.69472,-67.70334
-10.62,-67.675
-10.53222,-67.61168
-10.52806,-67.60779
-10.50445,-67.5825
-10.48111,-67.52918
-10.47278,-67.50917
-10.44167,-67.44945
-10.37,-67.33334
-10.36445,-67.32501
-10.35972,-67.32278
-10.34167,-67.32556
-10.33056,-67.32834
-10.32445,-67.32752
-10.32084,-67.32417
-10.31806,-67.31307
-10.31667,-67.30029
-10.31056,-67.23639
-10.31056,-67.22917
-10.31333,-67.21806
-10.32111,-67.19751
-10.32361,-67.1864
-10.325,-67.17445
-10.27195,-67.08084
-10.24361,-67.0464
-10.17222,-66.97084
-10.15139,-66.95001
-10.12528,-66.92668
-10.12111,-66.92389
-10.09667,-66.89945
-10.08639,-66.88806
-9.99084,-66.76028
-9.97695,-66.73222
-9.96389,-66.6964
-9.9625,-66.69057
-9.95,-66.66139
-9.94778,-66.6564
-9.94222,-66.64806
-9.93806,-66.645
-9.92222,-66.64002
-9.91827,-66.64026
-9.91056,-66.63806
-9.90695,-66.63445
-9.90278,-66.62473
-9.88833,-66.54889
-9.8875,-66.54251
-9.88111,-66.48557
-9.8825,-66.47307
-9.88806,-66.45001
-9.88889,-66.44362
-9.88945,-66.43028
-9.88806,-66.42445
-9.86667,-66.38335
-9.79972,-66.18306
-9.79472,-66.16695
-9.77528,-66.08084
-9.77584,-66.07445
-9.77972,-65.97195
-9.77778,-65.8439
-9.775,-65.79224
-9.77056,-65.74583
-9.83306,-65.61279
-9.835,-65.60779
-9.83584,-65.60167
-9.83695,-65.57613
-9.83639,-65.57001
-9.83361,-65.56557
-9.78417,-65.5175
-9.77945,-65.51529
-9.76611,-65.51502
-9.74139,-65.51222
-9.71917,-65.49251
-9.6792,-65.44234
-9.68195,-65.42195
-9.68472,-65.41057
-9.68611,-65.40501
-9.69222,-65.39002
-9.69778,-65.38196
-9.70889,-65.37195
-9.7625,-65.34195
-9.82806,-65.30585
-9.83722,-65.30112
-9.84278,-65.29945
-9.86056,-65.30084
-9.88917,-65.3139
-9.90222,-65.32251
-9.91139,-65.32723
-9.93139,-65.33501
-9.94306,-65.33695
-9.95695,-65.33695
-10.03306,-65.33362
-10.04417,-65.33084
-10.04917,-65.32861
-10.07528,-65.31307
-10.09528,-65.30528
-10.10639,-65.30223
-10.18917,-65.28946
-10.20167,-65.28778
-10.215,-65.28862
-10.22056,-65.28973
-10.28361,-65.30972
-10.29389,-65.31334
-10.30167,-65.31946
-10.31195,-65.33
-10.32111,-65.34195
-10.33,-65.3539
-10.35111,-65.375
-10.35861,-65.38139
-10.3725,-65.3889
-10.39358,-65.39578
-10.41056,-65.39084
-10.41695,-65.39168
-10.43195,-65.39696
-10.43695,-65.39917
-10.45,-65.40668
-10.46611,-65.42584
-10.46935,-65.44302
-10.47924,-65.44951
-10.61278,-65.43918
-10.62472,-65.43695
-10.75584,-65.39002
-10.84083,-65.33862
-10.8475,-65.33168
-10.85962,-65.32324
-10.88084,-65.31584
-10.96722,-65.30057
-10.98528,-65.30057
-10.99056,-65.30196
-10.99917,-65.30751
-11.05806,-65.34334
-11.14945,-65.39362
